Title,Average,None,None,None
1_Discomfort,1.6666666666666667,4.166666666666667,4.333333333333333,5.5
1_Competency,6.833333333333333,6.833333333333333,1.6666666666666667,4.5
1_Safety,3.0,3.6666666666666665,2.6666666666666665,2.3333333333333335
2_Discomfort,5.166666666666667,6.833333333333333,4.333333333333333,5.833333333333333
2_Competency,6.0,3.8333333333333335,5.5,5.833333333333333
2_Safety,3.0,3.6666666666666665,2.3333333333333335,3.3333333333333335
3_Discomfort,1.5,3.6666666666666665,5.833333333333333,6.666666666666667
3_Competency,7.166666666666667,6.166666666666667,1.8333333333333333,2.6666666666666665
3_Safety,3.6666666666666665,2.3333333333333335,3.3333333333333335,2.3333333333333335
4_Discomfort,1.5,6.666666666666667,4.666666666666667,3.5
4_Competency,7.0,2.6666666666666665,1.6666666666666667,4.5
4_Safety,3.3333333333333335,3.6666666666666665,2.6666666666666665,2.3333333333333335
5_Discomfort,3.0,7.166666666666667,3.5,2.5
5_Competency,6.833333333333333,4.166666666666667,2.1666666666666665,5.166666666666667
5_Safety,2.0,3.6666666666666665,2.6666666666666665,2.6666666666666665
6_Discomfort,3.8333333333333335,6.166666666666667,3.5,3.3333333333333335
6_Competency,6.666666666666667,2.1666666666666665,5.5,4.333333333333333
6_Safety,3.6666666666666665,3.6666666666666665,2.6666666666666665,2.6666666666666665
7_Discomfort,3.0,2.3333333333333335,2.3333333333333335,1.3333333333333333
7_Competency,7.0,6.0,6.666666666666667,6.5
7_Safety,3.0,2.3333333333333335,2.3333333333333335,2.3333333333333335
8_Discomfort,2.3333333333333335,4.0,3.5,4.666666666666667
8_Competency,7.5,7.0,4.833333333333333,7.333333333333333
8_Safety,3.0,2.3333333333333335,2.0,3.0
9_Discomfort,2.8333333333333335,2.8333333333333335,3.3333333333333335,2.0
9_Competency,7.0,6.666666666666667,5.666666666666667,7.333333333333333
9_Safety,3.0,2.3333333333333335,2.3333333333333335,3.0
